month,admtyp,sex,race,age_group,county,crime_class,n
2018-01-01,Court admission,Female,American Indian,35-44,Cook,Public Order,1
2018-01-01,Court admission,Female,American Indian,45-54,DuPage,Drug,1
2018-01-01,Court admission,Female,Bi-Racial,20-24,Bureau,Property,1
2018-01-01,Court admission,Female,Bi-Racial,25-29,Cook,Public Order,1
2018-01-01,Court admission,Female,Bi-Racial,30-34,Jackson,Person,1
2018-01-01,Court admission,Female,Bi-Racial,30-34,Rock Island,Public Order,1
2018-01-01,Court admission,Female,Black,20-24,Cook,Person,1
2018-01-01,Court admission,Female,Black,20-24,Cook,Public Order,2
2018-01-01,Court admission,Female,Black,20-24,DuPage,Drug,1
2018-01-01,Court admission,Female,Black,20-24,Vermilion,Person,1
2018-01-01,Court admission,Female,Black,25-29,Cook,Drug,1
2018-01-01,Court admission,Female,Black,25-29,Cook,Person,1
2018-01-01,Court admission,Female,Black,30-34,Cook,Property,2
2018-01-01,Court admission,Female,Black,30-34,Kankakee,Drug,1
2018-01-01,Court admission,Female,Black,30-34,St. Clair,Person,1
2018-01-01,Court admission,Female,Black,30-34,Will,Drug,1
2018-01-01,Court admission,Female,Black,30-34,Winnebago,Person,1
2018-01-01,Court admission,Female,Black,30-34,Winnebago,Property,1
2018-01-01,Court admission,Female,Black,35-44,Cook,Drug,1
2018-01-01,Court admission,Female,Black,35-44,Cook,Person,2
2018-01-01,Court admission,Female,Black,35-44,Cook,Public Order,1
2018-01-01,Court admission,Female,Black,35-44,Kane,Property,1
2018-01-01,Court admission,Female,Black,35-44,Winnebago,Drug,1
2018-01-01,Court admission,Female,Black,35-44,Winnebago,Person,1
2018-01-01,Court admission,Female,Black,35-44,Winnebago,Property,1
2018-01-01,Court admission,Female,Black,45-54,Cook,Drug,4
2018-01-01,Court admission,Female,Black,45-54,Cook,Person,1
2018-01-01,Court admission,Female,Black,45-54,Cook,Property,1
2018-01-01,Court admission,Female,Black,45-54,Cook,Public Order,1
2018-01-01,Court admission,Female,Black,45-54,Winnebago,Person,1
2018-01-01,Court admission,Female,Black,55-64,Champaign,Person,1
2018-01-01,Court admission,Female,Black,55-64,Cook,Property,1
2018-01-01,Court admission,Female,Hispanic,20-24,Cook,Drug,1
2018-01-01,Court admission,Female,Hispanic,25-29,Cook,Property,1
2018-01-01,Court admission,Female,Hispanic,25-29,Cook,Public Order,1
2018-01-01,Court admission,Female,Hispanic,35-44,Cook,Drug,1
2018-01-01,Court admission,Female,Hispanic,35-44,Lake,Drug,1
2018-01-01,Court admission,Female,Hispanic,45-54,Cook,Property,1
2018-01-01,Court admission,Female,White,20-24,Macoupin,Drug,1
2018-01-01,Court admission,Female,White,20-24,McHenry,Drug,1
2018-01-01,Court admission,Female,White,20-24,Morgan,Drug,1
2018-01-01,Court admission,Female,White,20-24,Rock Island,Person,2
2018-01-01,Court admission,Female,White,20-24,Shelby,Person,1
2018-01-01,Court admission,Female,White,20-24,Tazewell,Public Order,1
2018-01-01,Court admission,Female,White,25-29,Clay,Drug,1
2018-01-01,Court admission,Female,White,25-29,Clay,Property,1
2018-01-01,Court admission,Female,White,25-29,Coles,Public Order,1
2018-01-01,Court admission,Female,White,25-29,Cook,Property,2
2018-01-01,Court admission,Female,White,25-29,Crawford,Drug,1
2018-01-01,Court admission,Female,White,25-29,Effingham,Drug,1
2018-01-01,Court admission,Female,White,25-29,Jefferson,Drug,1
2018-01-01,Court admission,Female,White,25-29,Jefferson,Person,1
2018-01-01,Court admission,Female,White,25-29,LaSalle,Public Order,1
2018-01-01,Court admission,Female,White,25-29,Lawrence,Drug,1
2018-01-01,Court admission,Female,White,25-29,Morgan,Drug,1
2018-01-01,Court admission,Female,White,25-29,Shelby,Drug,1
2018-01-01,Court admission,Female,White,25-29,Tazewell,Property,1
2018-01-01,Court admission,Female,White,30-34,Clark,Drug,1
2018-01-01,Court admission,Female,White,30-34,Clinton,Drug,1
2018-01-01,Court admission,Female,White,30-34,DuPage,Drug,1
2018-01-01,Court admission,Female,White,30-34,Gallatin,Property,1
2018-01-01,Court admission,Female,White,30-34,Hancock,Public Order,1
2018-01-01,Court admission,Female,White,30-34,Knox,Property,1
2018-01-01,Court admission,Female,White,30-34,Madison,Property,2
2018-01-01,Court admission,Female,White,30-34,McLean,Drug,2
2018-01-01,Court admission,Female,White,30-34,Peoria,Person,1
2018-01-01,Court admission,Female,White,30-34,Sangamon,Property,1
2018-01-01,Court admission,Female,White,30-34,Tazewell,Drug,1
2018-01-01,Court admission,Female,White,30-34,Vermilion,Drug,1
2018-01-01,Court admission,Female,White,30-34,Warren,Drug,1
2018-01-01,Court admission,Female,White,30-34,Williamson,Drug,1
2018-01-01,Court admission,Female,White,30-34,Williamson,Property,1
2018-01-01,Court admission,Female,White,35-44,Bond,Property,1
2018-01-01,Court admission,Female,White,35-44,Clay,Drug,1
2018-01-01,Court admission,Female,White,35-44,Clinton,Drug,1
2018-01-01,Court admission,Female,White,35-44,Fayette,Drug,1
2018-01-01,Court admission,Female,White,35-44,Franklin,Drug,1
2018-01-01,Court admission,Female,White,35-44,Jersey,Drug,1
2018-01-01,Court admission,Female,White,35-44,Kane,Drug,1
2018-01-01,Court admission,Female,White,35-44,Kane,Property,1
2018-01-01,Court admission,Female,White,35-44,Kankakee,Property,1
2018-01-01,Court admission,Female,White,35-44,LaSalle,Drug,1
2018-01-01,Court admission,Female,White,35-44,Lawrence,Person,1
2018-01-01,Court admission,Female,White,35-44,Macon,Property,1
2018-01-01,Court admission,Female,White,35-44,Madison,Drug,1
2018-01-01,Court admission,Female,White,35-44,Madison,Property,1
2018-01-01,Court admission,Female,White,35-44,McHenry,Property,1
2018-01-01,Court admission,Female,White,35-44,Montgomery,Drug,1
2018-01-01,Court admission,Female,White,35-44,White,Property,1
2018-01-01,Court admission,Female,White,35-44,Will,Property,1
2018-01-01,Court admission,Female,White,35-44,Winnebago,Property,1
2018-01-01,Court admission,Female,White,35-44,Winnebago,Public Order,1
