Code,Object,Expended YTD,Year,Object_cat,month,amount,dt
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Jan,83637470.81,2022-01-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Feb,82447063.15,2022-02-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Mar,79655093.09,2022-03-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Apr,80740466.82,2022-04-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,May,80960495.72,2022-05-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Jun,83495617.51,2022-06-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Jul,39767272.96,2022-07-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Aug,80506333.13,2022-08-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Sep,80965918.12,2022-09-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Oct,81062529.46,2022-10-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Nov,81668569.29,2022-11-01
1120,REGULAR POSITIONS,995346917.76,2022,Personnel,Dec,83591465.2,2022-12-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Jan,87548520.6,2023-01-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Feb,86365233.35,2023-02-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Mar,84985088.57,2023-03-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Apr,85739400.51,2023-04-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,May,85363031.2,2023-05-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Jun,87338049.87,2023-06-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Jul,41602514.37,2023-07-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Aug,84688284.43,2023-08-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Sep,85246491.59,2023-09-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Oct,85148792.23,2023-10-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Nov,86449062.0,2023-11-01
1120,REGULAR POSITIONS,1045715398.76,2023,Personnel,Dec,87693622.07,2023-12-01
