month,exit_reason,discrsn,sex,race,age_group,county,crime_class,relinst,n
2014-01-01,Court Order,Court Order,Male,Black,25-29,Cook,Person,Stateville CC,1
2014-01-01,Court Order,Court Order,Male,Black,35-44,Cook,Person,Menard CC,1
2014-01-01,Court Order,Court Order,Male,Black,35-44,Cook,Public Order,Sheridan CC,1
2014-01-01,Death,Death,Male,Black,45-54,Cook,Property,Lincoln CC,1
2014-01-01,Death,Death,Male,Black,65-74,Cook,Person,Pinckneyville CC,1
2014-01-01,Death,Death,Male,White,30-34,Winnebago,Property,Electronic Det Unit,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,20-24,Cook,Drug,Logan CC,2
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,25-29,Cook,Drug,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,25-29,Cook,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,30-34,Cook,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,30-34,Peoria,Public Order,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Black,35-44,Cook,Public Order,Decatur CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,Hispanic,35-44,Cook,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,20-24,Bureau,Drug,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,20-24,Clinton,Property,Decatur CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,25-29,Jefferson,Person,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,25-29,Lawrence,Drug,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,25-29,Madison,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,25-29,Sangamon,Person,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,30-34,Boone,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,30-34,Cook,Person,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,30-34,Peoria,Public Order,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,35-44,Johnson,Property,Decatur CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,35-44,Kankakee,Property,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Female,White,35-44,Will,Drug,Logan CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,American Indian,30-34,Rock Island,Property,Menard CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,18-19,Cook,Person,Stateville CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,18-19,Cook,Public Order,Centralia CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,18-19,Cook,Public Order,Stateville CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,18-19,Peoria,Public Order,Pinckneyville CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Drug,Danville CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Drug,Pinckneyville CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Drug,Shawnee CC,3
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Drug,Stateville CC,7
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Hill CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Lawrence CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Other custody,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Pontiac CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Shawnee CC,1
2014-01-01,Expiration of Sentence,Expiration of Sentence,Male,Black,20-24,Cook,Person,Stateville CC,3
