age,sex,race,year_cen,county_name,gen_population,year_pri,Drug,Person,Property,Public Order,total
18-19,FEMALE,AMERICAN INDIAN,2009,"Bureau County, Illinois",20,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Champaign County, Illinois",34,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Cook County, Illinois",275,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"DeKalb County, Illinois",63,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"DuPage County, Illinois",43,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Henry County, Illinois",12,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Jackson County, Illinois",30,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Kane County, Illinois",27,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Kankakee County, Illinois",32,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Madison County, Illinois",12,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"McLean County, Illinois",24,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Monroe County, Illinois",26,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Sangamon County, Illinois",19,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2009,"Williamson County, Illinois",24,2009.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Bureau County, Illinois",43,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Champaign County, Illinois",29,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Cook County, Illinois",295,2010.0,0.0,1.0,0.0,0.0,1.0
18-19,FEMALE,AMERICAN INDIAN,2010,"DeKalb County, Illinois",44,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Douglas County, Illinois",11,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"DuPage County, Illinois",45,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Jackson County, Illinois",34,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Kane County, Illinois",31,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Kankakee County, Illinois",25,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Madison County, Illinois",20,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"McLean County, Illinois",15,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Peoria County, Illinois",11,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Sangamon County, Illinois",20,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2010,"Williamson County, Illinois",14,2010.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Champaign County, Illinois",29,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Cook County, Illinois",156,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"DeKalb County, Illinois",26,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"DuPage County, Illinois",34,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Jackson County, Illinois",61,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Kane County, Illinois",46,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Kankakee County, Illinois",30,2011.0,0.0,0.0,0.0,0.0,0.0
18-19,FEMALE,AMERICAN INDIAN,2011,"Lake County, Illinois",22,2011.0,0.0,0.0,0.0,0.0,0.0
