record_dt,population
2005-06-30,44616
2006-06-30,45375
2006-12-31,45039
2007-06-30,45492
2007-12-31,45145
2008-06-30,45476
2008-12-31,45399
2009-06-30,45477
2009-12-31,45087
2010-06-30,47429
2010-12-31,48349
2011-06-30,48890
2011-12-31,48333
2012-06-30,48228
2012-12-31,48962
2013-06-30,48780
2013-12-31,48557
2014-06-30,48823
2014-12-31,48181
2015-06-30,47069
2015-12-31,45580
2016-06-30,44720
2016-12-31,43517
2017-06-30,42978
2017-12-31,41328
2018-03-31,41023
2018-06-30,40768
2018-09-30,40581
2018-12-31,39810
2019-03-31,39326
2019-06-30,39191
2019-09-30,38930
2019-12-31,38150
2020-03-31,36914
2020-06-30,32058
2020-09-30,30898
2020-12-31,29121
2021-03-31,27509
2021-06-30,27309
2021-09-30,28057
2021-12-31,27861
2022-03-31,27611
2022-06-30,29255
2022-09-30,29533
2022-12-31,29515
2023-03-31,29674
2023-06-30,29938
2023-09-30,30148
2023-12-31,29705
2024-03-31,29117
2024-06-30,28964
2024-09-30,29096
2024-12-31,28847
2025-03-31,29034
2025-06-30,29295
2025-09-30,29670
2025-12-31,30042
2026-03-31,30256
