sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,Black,35-44,Cook,Public Order,Jacksonville,,,277.0,,2024,2024-01-01
Male,Black,30-34,Whiteside,Public Order,Stateville,213.0,,349.0,,2023,2023-11-01
Male,White,30-34,Vermilion,Person,Centralia,,,735.0,,2021,2021-12-01
Male,Black,25-29,Kane,Person,Lawrence,,,385.0,,2021,2021-11-01
Male,Black,30-34,Macon,Person,East Moline,,,230.0,,2021,2021-11-01
Male,Black,35-44,Cook,Person,Vienna,1081.0,,298.0,,2021,2021-01-01
Male,Black,25-29,Winnebago,Person,Stateville,1526.0,,318.0,,2021,2021-02-01
Female,White,35-44,Adams,Person,Logan,,,461.0,,2021,2021-03-01
Male,Hispanic,30-34,Will,Person,Sheridan,,,359.0,,2020,2020-12-01
Male,Hispanic,45-54,Rock Island,Property,Pontiac,,,264.0,,2025,2025-04-01
Male,White,35-44,Livingston,Person,Pontiac,564.0,,441.0,,2024,2024-06-01
Male,White,25-29,Mercer,Person,Pinckneyville,565.0,,1083.0,,2021,2021-10-01
Male,White,35-44,Knox,Public Order,Danville,,,62.0,,2021,2021-12-01
Male,White,25-29,Richland,Person,Robinson,,,692.0,,2021,2021-04-01
Male,Black,45-54,Lake,Public Order,Stateville,,,107.0,,2020,2020-12-01
Male,Black,30-34,Winnebago,Public Order,Shawnee,,,700.0,,2020,2020-11-01
Male,Black,35-44,St. Clair,Person,Lincoln,,,31.0,,2025,2025-04-01
Male,Black,35-44,Champaign,Person,Stateville,,,71.0,,2025,2025-08-01
Male,White,20-24,Clay,Property,Graham,267.0,,623.0,,2023,2023-10-01
Male,Black,30-34,DuPage,Property,Western Illinois,671.0,,,,2021,2021-04-01
Male,White,35-44,Madison,Person,Western Illinois,,,,,2024,2024-02-01
Male,Black,55-64,Stephenson,Drug,Robinson,,,,,2024,2024-06-01
Male,White,30-34,McLean,Public Order,Shawnee,,,,,2024,2024-03-01
Male,White,45-54,Jersey,Public Order,Graham,,,,,2024,2024-02-01
Female,White,35-44,McHenry,Property,Logan,,,,,2024,2024-04-01
Male,Black,25-29,Cook,Person,Vandalia,,,,,2024,2024-06-01
Male,Black,55-64,Cook,Drug,Stateville,,,,,2023,2023-07-01
Male,Black,65-74,Cook,Property,Hill,,,,,2023,2023-08-01
Male,White,35-44,Marion,Drug,Crossroads Male ATC,,,,,2023,2023-09-01
Female,Black,45-54,Peoria,Person,Logan,,,,,2023,2023-10-01
Male,Black,20-24,Cook,Drug,Menard,,,,,2023,2023-12-01
Male,White,45-54,Cook,Public Order,Stateville,,,,,2023,2023-05-01
Male,White,65-74,Macon,Drug,Lincoln,,,,,2023,2023-02-01
Male,White,55-64,DuPage,Person,Taylorville,,,,,2023,2023-05-01
Male,Black,35-44,Cook,Public Order,Stateville,,,,,2021,2021-09-01
